"A1","A2","dim"
1388061.57560998,3409913.53874217,64
2104206.31980046,3857290.14173217,64
1237037.00108959,3917791.37286795,64
2007760.09993143,4246696.83168022,64
1264122.54266471,3710433.04184184,64
1497280.17181541,3124006.22136615,64
1730186.39076473,3964308.25136685,64
1276949.8810459,3839304.67504331,64
1349885.64878082,4229943.5664032,64
755673.421683701,4038128.2280422,64
1869421.25403348,3644529.18188019,64
1608810.66884675,2647062.58241735,64
1742027.14814166,3524053.1715318,64
1492737.88794156,3371992.16021704,64
1293034.22915337,3346463.72554178,64
1873854.17047211,3360472.42085194,64
1507415.67625327,4199542.09595126,64
1651245.71629961,3192364.99678165,64
1321353.06396929,3194033.51335849,64
1418589.67920023,3545030.23123778,64
1607282.08896635,4196680.37926067,64
1052915.47051939,3907578.98076876,64
2120034.3134034,3997951.86264163,64
1556678.12534188,4170253.26179509,64
1431637.79283742,3838667.81977334,64
1258297.97177807,3411482.00263533,64
1480274.87390502,3575835.39492552,64
1418444.91327816,3672693.7012308,64
1562655.47283668,4070119.43322135,64
1111534.82569771,3269198.66656861,64
