"A1","A2","dim"
8511188.93596453,9258294.63201153,131
6580483.39925608,9888959.99937987,131
7942435.4513429,10247217.9384326,131
8364630.836258,9867706.30525049,131
8313590.41914463,10090586.4459104,131
6643452.72063172,9185494.77146931,131
6900517.65860306,9884730.80724179,131
7702105.18658255,9699048.1502993,131
7646330.33350427,8680940.39136716,131
7705776.33159229,10167958.9927468,131
8111804.30995598,10756760.0214091,131
7790056.31064059,9848335.30925037,131
7419747.60558268,10124876.7787069,131
8290298.02464452,9980604.18160406,131
8083157.1072245,9833998.55166814,131
8534216.31218992,9290934.60929138,131
8120049.0701492,10018289.3733406,131
7840552.86856786,10054514.5284128,131
6611476.72951371,9787953.26349053,131
7021848.78392487,9090408.49547435,131
7179765.97141534,9142092.20502913,131
7015047.92746296,9212400.01074202,131
6199457.28488354,9098575.11310414,131
8293211.78257699,10665203.1607861,131
7742025.68838376,9186639.83811249,131
6960762.40315466,9220265.41884666,131
7493015.1013243,9293669.71627867,131
7616460.39376422,10453099.0282044,131
7594792.30593889,10223119.6249343,131
7322819.83531426,10720379.2474134,131
