"A1","A2","dim"
6994570.06372427,9572736.68008719,136
8145051.43131599,9621673.35174232,136
8906085.88190527,9712434.66461599,136
6945981.09688236,10475502.4722364,136
8212369.26528343,10322475.8370141,136
7713400.1467163,10797004.099262,136
7863054.48976147,9463212.14438613,136
8698937.75556967,10400295.275527,136
8301790.69675218,11057156.3364481,136
8989202.10655302,10487056.5388774,136
7450741.03844305,9545479.70120533,136
7412264.63883214,9552820.35653268,136
6277002.58979995,9790554.68735403,136
7953147.29052026,11025294.2856757,136
7690420.06077587,10869684.3293338,136
9029020.48315219,9741565.54060577,136
8157897.9097937,10878091.0493922,136
7399954.27974802,10027155.1662653,136
8307998.88354467,7913896.03025296,136
8286028.11991318,10395188.6866599,136
8690917.27743492,10196651.3014841,136
7704822.727144,10642322.7360021,136
7271486.74807654,11059852.4514822,136
8643411.49112399,9909836.5154667,136
6432626.67805971,10249562.588719,136
7940881.88566437,9880461.8030959,136
8429134.68186846,10775389.6878542,136
7795660.40051529,8886076.90303477,136
8996672.67245416,10471397.8547183,136
7106976.34093327,10554248.1950289,136
