"A1","A2","dim"
2378514.88001318,5081676.75812802,78
2662715.44297135,4544256.70199183,78
2108220.24451124,4832761.72594945,78
2485372.5761621,5163445.94112076,78
2802103.09203148,5688367.12033065,78
2925583.09512691,4719977.80233954,78
2254289.76866197,5098663.47581743,78
3025929.32573814,4285341.50835665,78
2656127.08263529,5584976.75779104,78
2071217.80345833,5100446.69535814,78
1624140.90422095,4910781.72457232,78
2485729.12516035,4605010.41252967,78
2046119.32096319,5272612.37646253,78
2983199.77126738,4949934.69329289,78
2770031.09224293,4962800.45104222,78
2213206.39352819,5136866.1939964,78
2952414.26700441,4760721.17667414,78
2883326.71586454,4905604.58015674,78
2421578.78176798,4712295.95839001,78
3008808.04600658,4406781.73745219,78
2567237.33659014,4784659.77608659,78
2610948.71946085,4728989.80585887,78
2215849.08250772,5457809.65690976,78
2888961.86950096,4908855.20205307,78
2787592.9777848,5228973.94915387,78
2275819.8569061,5083663.23092769,78
2862028.47072368,4547321.37516712,78
2347067.99740531,4334501.70108118,78
3171920.29043701,4970214.14621651,78
2254961.99409007,4721270.41881333,78
