"A1","A2","dim"
570696.612143502,1768858.54731527,46
613029.941855866,1707157.49696921,46
444659.758894028,2589458.31079726,46
784377.64650981,1650048.31960122,46
695243.455644652,1681087.28182478,46
718041.525144818,1850577.60536734,46
550564.68952943,1621127.16454753,46
423856.724611277,2287658.25216899,46
459399.879274995,1525387.68855938,46
724651.643651118,1848702.77739269,46
605515.614521452,1755864.32126853,46
575419.963778184,2326902.31948051,46
672299.506569666,1482910.04555759,46
503179.202704183,2629322.43958435,46
570036.254444687,1770027.02169545,46
470533.017195901,2091453.71411533,46
443589.551575573,1827319.46975328,46
446923.006704041,1487742.89211079,46
875758.528360102,2057202.19240332,46
487668.451106306,1596647.00320072,46
757661.417336639,2883004.90283365,46
535080.144223803,1797279.36990682,46
759912.667212711,2558398.65441756,46
657715.028008696,1282057.57172087,46
404781.782890668,1303633.95801351,46
730763.533045557,1709399.00688323,46
676542.197430723,1936970.20672375,46
757750.320594529,1799662.43360153,46
726012.883292346,2237006.60057091,46
684510.791566457,2038534.91766812,46
