"A1","A2","dim"
6854989.6734202,8392708.19944823,113
4981253.35465304,7762727.53593175,113
4936044.41822056,8551261.87729156,113
6448228.54935162,8397984.54895612,113
5369047.17395413,8913566.13466178,113
4778040.99645502,6729261.29834966,113
5872937.84623389,8120224.88086003,113
5046939.40946127,7388113.5985138,113
6101258.72198785,5740152.99576659,113
6085571.27683864,7793594.57531702,113
5495443.59476956,8110616.25885353,113
5747961.77017903,8369519.07629834,113
6058082.31667612,8312680.86759682,113
4974956.84424356,7435513.06047735,113
5916677.16156702,7511198.71668867,113
5465969.46888561,7382016.17969065,113
5685707.80103501,8634585.18069933,113
5162962.89489374,8545215.01830809,113
4067446.04714053,5967608.92614528,113
5537153.41432018,8160782.12015484,113
5708113.00168218,8370884.49498421,113
2888991.50894315,8353091.53654955,113
6123015.7225688,8570465.78218084,113
6066067.20711061,8129505.82150395,113
6382909.06540529,8174584.9891618,113
5477887.12321716,7747055.48612995,113
4557707.81670674,8441120.21733904,113
6277970.75375945,7808921.79621522,113
4730686.98313255,7896719.94496901,113
5355432.54564843,8533382.86488442,113
