"A1","A2","dim"
7283257.069668,9186375.94249008,128
6557256.63894824,9307088.36450638,128
6951240.16917335,9085321.38511473,128
7346511.19861531,8429090.92776684,128
6562315.79779269,7947473.45956637,128
7000274.31780867,10514730.7636107,128
5860164.40285222,9581926.80952244,128
6224742.87363386,9761698.31772996,128
6914492.84562382,8094002.63443025,128
8338442.45537169,8635254.71871183,128
6982477.57996079,10093467.0431505,128
6834410.1516741,9726439.54057148,128
7035808.82727847,8335891.24949569,128
6893610.54339204,9766403.68393397,128
5468110.42364107,8586402.98186835,128
7253592.45022668,9034314.88474816,128
6881620.08086266,9939731.14696707,128
6847815.71160585,8868890.61752642,128
7340025.76635457,10432354.1624116,128
7616769.91920306,9305565.01852295,128
7887010.47533773,9634158.29692077,128
7218384.0532133,10190697.5519805,128
7645679.56161441,9182847.53157779,128
6473298.69898458,10191709.6282061,128
7296512.98363912,10413097.0173381,128
6776118.44307045,8861762.57579573,128
5379054.5145745,9367963.88571315,128
7266658.19125892,10225961.5519841,128
5421207.8637868,8914387.01336071,128
7687380.50459351,9832069.67327548,128
