"A1","A2","dim"
32146.916458685,638877.79366136,24
29654.6937188901,383553.333292089,24
70297.7211324727,567396.215576678,24
52682.7845454362,517508.65366853,24
74387.8537931692,436087.202164656,24
62757.760552992,486289.675778854,24
43593.9456883336,563544.358885259,24
54056.7337310786,484406.474604226,24
20615.8012738316,474006.373880946,24
51752.1076938572,514961.850012762,24
31311.5170171833,627152.826449547,24
76896.7661245556,366234.82968837,24
80472.1869945906,514661.833607987,24
50933.0361508302,472040.350987665,24
36815.1203769826,431858.891456229,24
38040.4747312191,607638.889490489,24
87283.6261252153,487394.193095927,24
26044.3985429903,421564.992622132,24
39558.1820301132,562855.27661634,24
42142.2060787939,575516.241650033,24
69514.2989599224,589812.453260088,24
15901.429998087,487413.899973522,24
29036.7638170747,654231.740374362,24
53477.2718082323,592354.710826868,24
52386.8823551445,570107.23176841,24
37041.7293588469,579421.617695463,24
12194.1366795762,622759.053094542,24
51058.0246140851,526029.143087485,24
48770.3284854469,580101.536590909,24
48441.2952161655,631717.924016201,24
