"A1","A2","dim"
1207535.97253618,2715391.59906645,54
1139103.89491138,2582517.45280074,54
1251797.36613123,2502580.74325459,54
1048123.04663132,2535078.31389204,54
951232.822791748,2184672.25342815,54
944762.689840398,2589640.93828653,54
1111784.50791318,2243337.81410596,54
1374440.0743737,2429114.2751647,54
1090399.95029176,3071571.30308388,54
967648.740510492,2825939.62012187,54
804016.087835462,2727765.3911446,54
1059608.44012057,2872921.1121897,54
1114179.82322629,2332074.97329829,54
752376.506690069,2845901.10102989,54
1089816.82934663,2530671.09685322,54
1210846.5139084,2383452.06573721,54
1044575.06213252,2948198.74222719,54
827716.66970546,2750744.4097527,54
1173210.57148762,1796950.77193959,54
782382.874203687,3679337.4751483,54
1184573.77030159,2599931.87612427,54
1013705.21096359,2878282.6563148,54
1051804.36404309,3619787.67429079,54
1000552.04998843,2953787.86949728,54
1049416.47180043,1997269.33429676,54
539663.65604331,2759754.34156249,54
957526.97553845,2275039.21673629,54
974113.8938131,2334151.17927075,54
1055475.67940948,2961449.29983521,54
565392.986209099,3575015.79812143,54
