"A1","A2","dim"
1493743.5437306,3071964.89182713,58
1372875.08473678,2131299.26505392,58
1289057.18143626,3304713.53506595,58
1056511.7640983,2657688.54612679,58
1511190.61415222,3419783.50107811,58
1001278.46390681,2584900.75060695,58
1038817.54969236,3303492.83661774,58
1376971.32961675,3152930.7127053,58
1085926.34132668,4051042.76329525,58
1031248.0290362,3217730.08295126,58
997053.806252429,2225916.09499111,58
1254340.09692752,3390976.77924438,58
1071895.28953456,3149526.2470997,58
1337654.42313032,2849248.57632254,58
1072331.28938236,2976503.92424165,58
1251339.29438468,3196484.7298973,58
1201885.07405612,2194322.60145198,58
1397891.23822047,3860942.02449139,58
858311.84221813,3168158.72057103,58
1123885.18572751,3060381.115785,58
932250.340693875,3146508.70928013,58
993121.527894902,2880080.46386133,58
985873.716228807,3078219.63292895,58
1225014.08953219,3735768.68274373,58
1207317.28810517,3488798.11895966,58
1060331.22165299,3494117.45106331,58
1193963.20155588,3225993.94041877,58
1236681.47996481,4107337.58771549,58
1151729.38698341,3664029.57301199,58
1082726.34468235,3474472.91306072,58
