"A1","A2","dim"
1984051.88445294,4856191.65583439,73
1695593.11839585,4661721.13832118,73
2381156.48491072,4604494.585374,73
1766429.77559203,5097481.00563862,73
2056308.94245235,4340582.16847201,73
2284275.0738282,4669107.20210459,73
1982806.25126412,3800920.80411954,73
1882495.72298619,4656672.53158248,73
2333031.50980962,4573365.03102207,73
2063106.63035619,4459801.7184737,73
1841547.04585755,3439786.37706906,73
2569162.65030279,4009908.31105896,73
2741185.08872384,4127760.52608557,73
2119729.17488156,4821814.49195429,73
2840863.3682249,4281017.72753546,73
2230691.40833392,3477914.21684704,73
2407618.90614897,4015558.42715386,73
2455813.82266,5185012.38165907,73
2448728.93835793,5059896.88417732,73
2119656.3927828,4522941.47178962,73
2448162.91150086,4123369.99110627,73
2024241.10563751,3522876.3377383,73
2418887.95507514,3919662.52871604,73
2324571.3028221,4563570.96911709,73
2138128.86576095,5011923.44652881,73
1980706.38402654,4830554.16079197,73
2015726.63860831,4701936.20322661,73
1959399.86001312,4862426.21012433,73
2365226.10958588,3815181.6967126,73
2241649.6585779,4157057.53009937,73
