"A1","A2","dim"
2919028.64200461,6332475.44455537,92
2586625.55339212,6387985.5262754,92
3280447.49112297,6480025.75079491,92
4375597.70944759,5789368.0771453,92
3691963.90920445,6242674.14755447,92
3484710.31224864,5611350.42987379,92
3119029.65113448,6588790.31843678,92
3702930.56142735,5717449.12377799,92
3786327.24540725,7071537.29457897,92
3652200.12167112,6164419.04766821,92
4294068.41745292,5459383.82007964,92
3175310.11242882,6373099.18384282,92
3185200.7063558,4896117.70093222,92
3382675.1643287,5979714.37711348,92
3943089.57310917,5943673.24074737,92
3663575.64735887,6451442.40461618,92
4023889.76119746,6518761.25351727,92
3763827.99880384,5926048.08346009,92
3075719.15020415,7368325.80527374,92
3170322.72932393,6573926.61268329,92
3387614.74991781,5976872.35152052,92
3101964.45895655,6359529.82849105,92
3086135.19992456,6372608.21053151,92
3934592.95755778,6712924.09643669,92
4248055.22673935,6891357.80588745,92
4766482.6954017,6376037.66878537,92
2733965.96320986,5777700.8820992,92
4384535.88923359,7364962.62141733,92
3154045.87952703,6318750.46435773,92
3390791.48247978,5656680.88358102,92
