"A1","A2","dim"
3353912.64051532,5801895.05695231,91
3976095.42513663,6139983.19968509,91
2991049.73799915,6464385.93388153,91
3119280.18722946,6131294.52068179,91
4420882.87657334,6640654.63281361,91
4280742.4382307,5146118.82363934,91
4194186.47447344,6039439.48731109,91
3684628.4786348,6122217.7549725,91
4294302.9798568,6153508.89057707,91
3513788.73586828,6625007.82870768,91
4135619.92701916,6235393.78561411,91
3977834.61322311,5809381.9177255,91
3812513.11153615,6715434.86477547,91
3072523.34158735,6109755.73382238,91
3924373.72492464,5741198.56222884,91
3603373.20132732,5833050.34867718,91
4156436.24677579,6232436.58560339,91
4035683.88861184,4265681.68750287,91
3406598.26901967,4878318.40035504,91
4168950.08183017,6271398.64567235,91
3301474.18069921,5447153.07952412,91
3243417.74949118,6687876.77221022,91
3934895.51334779,6320340.63993834,91
4213837.8544286,6648856.62195581,91
2912320.94016365,6158333.82156091,91
3863864.55652792,6829791.9224843,91
3940014.42861159,6633759.62686658,91
3709638.72692923,5997826.15682844,91
3936245.94547915,5938249.81884905,91
4168149.70026486,6532684.08096791,91
