"A1","A2","dim"
2357129.20755387,3696845.47623857,70
1470186.22621337,4539840.88498377,70
2223648.04476574,3850263.75094718,70
2053786.58472787,4020915.5936653,70
1734762.56275102,3092373.45359499,70
2325326.75496957,3525622.90699204,70
1841248.09192556,4791639.323292,70
2103157.61741964,3882327.44369516,70
2174289.30153441,3352901.94081315,70
2309882.45151297,4352591.05437698,70
1865077.70116,4996718.52398057,70
2142103.67322958,4570071.78042402,70
1908604.53189342,4396533.26885228,70
2086351.49643395,3650760.73948282,70
1601232.8708945,4153849.29693903,70
2263746.28868269,4675765.63372705,70
1919344.41095419,3905198.81581983,70
1720935.04645925,4774578.98678535,70
2017576.48451449,2499919.07299801,70
1819905.74471226,4083423.75016815,70
1615199.76215945,3845001.45395364,70
1734424.60946849,3770167.79087855,70
2324140.34854537,4686216.29746668,70
2010936.08608076,4361606.26833444,70
2211231.06818861,4678526.45387341,70
1391682.31896257,4657807.71242721,70
1503982.44481933,4181159.31590716,70
2065085.33117431,3586897.68005349,70
1332629.77336386,3639045.991759,70
2098766.12150898,4017819.44980885,70
