"A1","A2","dim"
1364077.24481052,3225356.12611169,59
1338709.87740894,3950616.10393457,59
1286915.50191716,2817029.2808739,59
1385219.38340393,2920277.64789624,59
1156642.77132553,3926476.34973654,59
1093006.56254695,3618596.93726091,59
1613990.33247539,3493980.3231245,59
1077844.70881054,3712997.91401546,59
1618278.59306043,3152137.78045885,59
1619615.91884859,3010419.80892074,59
1292382.22090901,2688646.06650678,59
940704.820153871,3264175.8733154,59
1535006.54807721,3539847.75713764,59
1498279.20290962,3465719.47661687,59
806424.884151963,3218380.74156079,59
1145483.12988317,3009381.14010296,59
1359641.9888771,2702537.97225906,59
1017988.58157442,3909655.58869314,59
966624.940692712,3721554.54812787,59
1410347.57318865,2579721.45734745,59
1024849.65605773,4231999.582347,59
1492649.23821678,3416712.41202038,59
912896.318792907,2852291.16377143,59
1442204.65114872,3210892.83383358,59
1381801.16521821,3246335.98497903,59
1356397.84218518,2730025.77574863,59
1192382.77397407,2775014.84433055,59
1276367.64365633,2552004.15013823,59
1214161.97852079,2911394.24019483,59
1264654.84306148,3811838.97464946,59
