"A1","A2","dim"
684049.746524031,2764832.76461864,50
815203.785422239,1917337.94633142,50
938266.821681665,1922039.86311709,50
838062.884125779,2482164.49594259,50
660675.801671695,2111096.87504394,50
725098.056923116,2986828.6086565,50
689347.290766063,2270903.34028973,50
995107.964096542,2644932.82780598,50
651074.222752153,2592290.73759653,50
798175.026097319,1917384.1070906,50
795248.120708249,2240854.51816475,50
930985.428309351,2617363.31090629,50
820254.88995852,2241702.1455537,50
821002.694731008,3108874.7909503,50
750284.48641388,3059219.76217407,50
807661.592289804,2068883.26081094,50
944688.296945095,1765703.72789352,50
795183.056019034,2849735.70061825,50
1074568.47642072,3117456.39467963,50
1111433.03153878,2016609.15705415,50
827916.329545151,2226963.20577856,50
692912.701100756,2567324.92918708,50
770199.866221095,2111377.51810573,50
755354.601754868,1935147.13486964,50
815235.340113839,2026241.25119318,50
754287.464557048,2253868.79022313,50
356243.508822455,2517520.96464684,50
839420.899948299,2818466.10701498,50
811404.298860406,2333785.78104366,50
926288.645891998,2758397.2397759,50
