"A1","A2","dim"
8961409.34751813,10486767.8408419,145
8776539.2615221,10430251.0716271,145
8080715.39688528,9982235.03719371,145
9063044.23267349,11797067.7151744,145
8534323.2129034,10335472.1789864,145
8455802.69315192,12126806.7562513,145
8955298.18443676,10407864.0146199,145
9368077.27651604,11125388.9500681,145
8273811.97163519,10290202.2480955,145
8807741.38499905,11202063.9252375,145
9324683.16494641,11861909.7625376,145
8931332.23024435,10999088.9815755,145
7583291.35363989,11564033.9217729,145
8254020.91490278,11649133.1131068,145
10056429.4520766,11738769.9799982,145
9111226.67778444,10204798.9422061,145
7820012.82876688,9761234.2632157,145
8877733.94637954,10599630.258258,145
9723078.10854275,11081422.3857308,145
8469477.05528518,11471680.5006909,145
7759663.31650995,10979046.1495582,145
8421163.26112612,10051190.867452,145
9479692.10266757,11873841.959994,145
8761142.66215108,11798625.8185432,145
7292925.73989246,9199608.85521775,145
7781842.10350132,11759782.0251063,145
9003662.11782848,11082839.2851451,145
8865436.25778417,9800983.91057417,145
8878383.91036697,12278492.4233913,145
7584319.0921571,11108625.5953396,145
