"A1","A2","dim"
103690.708703299,435580.775702226,26
56743.5868805662,743263.55229637,26
83831.5944942353,651462.662571485,26
69365.8947538804,566891.087350902,26
99870.1207153349,594624.078445489,26
131829.621565206,555900.243220931,26
78586.3749951262,653101.895850253,26
52719.6602286511,597233.029829196,26
81865.8805280023,632725.475858757,26
74784.7984710843,694647.679587803,26
61350.1561704046,605470.585044629,26
63631.6313091612,373824.84875244,26
46596.9380723461,662694.309196887,26
42770.8722464623,515072.825344982,26
88126.5813548272,488686.589227145,26
59353.0672436251,705478.826592077,26
86476.1121301459,446680.163386655,26
81324.1475810042,588591.437026521,26
40497.4921497054,510818.169253272,26
80669.4153596879,375605.736919546,26
23275.61910361,524396.390920153,26
54689.2449919419,630827.10833984,26
93619.6895488096,705460.484197143,26
68848.0794753321,601836.905194967,26
26168.3304953182,440745.401211322,26
36351.2323423609,650990.866551037,26
83325.1999703653,606555.505723832,26
133902.057057811,635108.074066479,26
24734.6450731514,444018.954412687,26
97643.0299640043,701452.720640727,26
