"A1","A2","dim"
8249699.04053031,12801386.0019663,149
9134216.73363109,12645524.2306413,149
9302531.62686793,11879791.0142158,149
9709965.36854956,10198426.3040848,149
10678537.7341391,11346506.5668697,149
9795294.0017353,10250949.2277883,149
9149863.65267286,11395430.6645412,149
9555115.4774733,11833118.8083607,149
8628351.93984103,10554738.8959119,149
9789428.29044032,10854966.1154493,149
9640856.40967507,11245488.9465238,149
9827868.82417248,11579732.9473192,149
9003648.7389737,12104119.8345535,149
9564353.27033506,11119066.6563379,149
9682890.27996902,11045350.3601594,149
8531434.87798646,11838712.8752577,149
9152112.56007755,11149815.891654,149
9340215.03944177,10305615.4140971,149
9381978.78575067,11043649.6514918,149
8944181.89101952,11483778.3430878,149
9542127.45485803,11661978.9539055,149
9526121.49260725,11593864.2517006,149
9393074.89859919,11124920.7474182,149
9515639.29535776,11316054.1709875,149
8431564.91100506,10716094.9958107,149
9039869.83408319,11478047.2638131,149
8851970.63632696,11591667.6401335,149
9958590.15847973,12005952.6477745,149
8897818.49362641,11838806.1865797,149
8478724.02136544,11940918.1281833,149
