"A1","A2","dim"
3993437.28605265,5575631.87298408,94
3627763.49205966,5880074.13996826,94
3453321.61698538,6701219.65594924,94
3639105.47438463,6187024.59050885,94
4020802.21950343,5120885.71692016,94
3534776.16813828,6005529.05745936,94
3309099.59011786,6209481.12780508,94
3940227.60640135,4989933.434309,94
3846380.32643771,6450025.57412204,94
3990331.62268435,6753952.72078406,94
4231720.46734329,6012321.43651786,94
3288747.80520182,5748721.26159328,94
3060528.31672868,5722368.15846272,94
2988112.61006529,4101204.67441747,94
3750786.77586827,6857466.81694327,94
4145094.71478561,6905185.5935179,94
4224445.62909614,6624193.16340205,94
3897110.57970427,6756494.98728761,94
3225914.42365379,6146039.50297401,94
3759566.5505669,5677058.00048987,94
3956960.20008455,6054145.2242843,94
3731892.77284752,5939300.49635362,94
3358464.75608931,6045301.52702477,94
3543427.93354826,6349727.4901833,94
4195661.3289255,6929604.51889385,94
3277749.84841315,6619326.03858069,94
3488653.5634873,6715242.73906001,94
2913910.55056025,6902602.03589492,94
3791493.14680062,6808405.13124821,94
3417862.75041295,6602963.81907838,94
