"A1","A2","dim"
1168295.95328926,3707737.22135206,56
1137303.80789736,2870263.31462701,56
917188.859746671,1290129.05244801,56
1235676.489197,3354279.85118458,56
828582.199253511,2710557.12190396,56
798988.8563193,3319693.62693082,56
1005615.75923884,2924823.79091079,56
849098.174385934,2764160.04034918,56
1004068.78930659,2888655.55896049,56
1275275.60988672,2826004.32029871,56
1109159.58491709,3077404.49164933,56
960110.267762061,3280311.4397645,56
891035.094040161,2668093.88568278,56
1273627.85184965,2851286.03278558,56
914714.48481177,3089813.65082404,56
1235184.44546229,3321514.40456371,56
1381683.84131078,3138324.10745332,56
978969.667138247,3244865.6362672,56
1070220.32728388,3585336.35537233,56
1092059.30304595,3053642.1721583,56
830196.049318216,3686951.8559361,56
1087312.54307649,2515045.97640413,56
1338547.67461293,2575734.25777545,56
858662.150673316,3401461.28692434,56
1255879.1238958,2892899.34161033,56
1065149.7092946,3547938.33448929,56
794182.171588975,2217394.54106735,56
1131190.89907376,2755422.99244358,56
1023013.55421644,3465204.94169421,56
1190448.72090076,2938602.57945256,56
