"A1","A2","dim"
1638478.59217351,4157701.78316847,66
1675265.94037645,3107636.65349568,66
1560032.08284398,4654141.24587415,66
2135093.49363854,3315504.06647911,66
1901374.3148569,3554652.18956673,66
1758001.21176551,3720888.45823443,66
1814058.43645383,3395645.20448587,66
1412127.82086901,4291807.77593291,66
1808004.0586565,4115332.0305632,66
1762111.63225414,3935864.53335512,66
1819849.69635488,4048688.12049736,66
1813909.23412047,4764019.15216039,66
1908136.81832153,4131133.36784461,66
1551925.04393325,2725655.47183329,66
1728934.5359897,3495660.1309993,66
1851565.02145994,4288775.52730663,66
1958505.47847008,3737975.19142756,66
1646344.54590406,3661176.95234014,66
1528500.77078565,2487815.38755798,66
1812259.03156106,3927358.91552348,66
2114325.75912335,4038471.34716533,66
1520040.34504317,3528120.20795664,66
1987397.97467365,3562039.33317523,66
1806242.36553345,4115495.26980228,66
1616444.48488227,4715752.69393666,66
1862861.89075758,3275704.48545825,66
1734451.23137392,4210564.86766691,66
1223102.51500969,3989026.15375102,66
1839863.86440916,3671117.7926472,66
2007512.63529355,3979566.82889421,66
