"A1","A2","dim"
1060466.59459366,2593072.5758855,55
879001.780105818,3326456.18610752,55
649881.631686767,2383819.31509635,55
948572.180490416,2839524.81268312,55
1210558.09031699,3041725.214542,55
995105.149588022,2733096.71471117,55
1405936.70628728,1827016.22898942,55
891857.344558868,2218877.57466049,55
731203.804256954,3464564.57524022,55
1331307.67748492,2396026.51247506,55
814067.335358245,2665308.02459666,55
1356607.07429793,2854189.40505193,55
1131840.4036745,2769925.04022961,55
1129777.15432716,3028192.43695653,55
1261406.6445505,2847287.48414393,55
863146.472735936,2647726.11483033,55
1093455.98913041,3307579.34169656,55
992291.229992406,3548443.83301479,55
430341.584207626,2227639.3457903,55
1046195.25647875,3309403.83695434,55
997300.856266124,3665177.82064156,55
1049683.91438098,2518961.62651923,55
1049028.12783507,3155842.33690313,55
911726.363702661,3295816.98389242,55
1085326.66594114,3351445.74476342,55
1065978.7486266,2743576.81828782,55
1266500.62776347,3221099.72249075,55
792091.975169825,2882300.84759916,55
945651.514871934,2344067.311929,55
1044507.68655524,2749778.19439825,55
