"A1","A2","dim"
1080061.97471308,2403329.51908058,57
971306.80656413,3078391.76237721,57
1505624.96412446,2821110.48073114,57
1328875.86229611,3484391.11425689,57
1208457.03814608,2425248.29355462,57
1034871.23233809,3109895.75048719,57
1204887.57148099,3156803.77750023,57
1372642.2545725,3019612.21698828,57
1024859.54500524,3676877.85839546,57
1211227.06285299,4031978.26152285,57
1301080.75156874,3082967.54506259,57
773108.152201354,2433733.78073406,57
1303630.94074375,2701806.00885227,57
928525.101762374,3420752.02087108,57
1061747.79775353,2930771.29600748,57
1152658.37910841,3156300.3746747,57
1350643.66775897,3485412.87948571,57
993416.528251802,2922215.06349202,57
1461519.81994648,3784723.45491138,57
1322474.88582222,2896413.40599864,57
951138.579513426,2806276.54353871,57
1064470.945114,2821606.29095223,57
1437556.92936485,3202800.1758131,57
1099447.96635502,3275327.7400795,57
1247763.39669373,3102187.61296793,57
676810.96910381,2723224.22103848,57
1513093.19487613,2894299.62789096,57
632182.753439568,2944543.68131975,57
1017104.91165899,3144305.44891035,57
1304015.11237008,3084231.91066295,57
