"A1","A2","dim"
2415346.09593658,4107992.18549024,79
3166401.48419226,4040250.89157551,79
2473135.21763971,5674462.74969189,79
2699939.51801919,5012978.50101599,79
2755980.50023639,4878214.67699396,79
2701371.83227413,5555675.31249783,79
2914564.97353285,5043469.24421626,79
1945484.80002673,5266463.03308045,79
2209438.48367596,5529966.19718208,79
2789185.91859477,4984929.81077931,79
2264250.36771253,4467567.07076966,79
2516539.62822514,4675129.19204083,79
2991456.32877274,4611635.1947618,79
2500075.10634872,5263923.19415326,79
2038449.90478713,4179285.72728437,79
2823097.97491457,4424145.83266552,79
2520054.66932563,4979036.91310666,79
2251857.59259276,4991773.24184666,79
1563984.68724366,5569270.16994245,79
1948082.49034246,5286371.69573948,79
2802268.32191855,5096959.83151106,79
2806110.96105706,4829975.60752469,79
2659307.25644844,4635239.02565695,79
3273130.62317798,4117599.596861,79
2787507.06528727,5635892.85994557,79
2708635.98957603,5495869.84920012,79
2939495.23200417,4315960.3763803,79
2811719.83756181,4190858.73812026,79
2891572.59859482,4204409.98426048,79
2411083.21973128,5994254.83111699,79
