"A1","A2","dim"
15920.5426603588,479086.741259334,21
34677.3400294091,456109.43697995,21
13949.033919047,331907.670250598,21
16879.0955766443,412320.459448807,21
23700.6845711888,321924.698858873,21
41262.9336328005,436496.64089305,21
22667.8297655086,436771.727369326,21
27631.3903578663,386286.193991704,21
18143.0027710441,434906.965391513,21
40008.8001352615,290190.35599462,21
22436.3434798849,178284.633633504,21
10626.6993771997,509714.532752661,21
8943.39491397832,401326.608140607,21
27215.0954323518,446606.736255537,21
20074.7049813703,401920.17480681,21
25850.8107979311,440126.151202249,21
11282.9317673867,509114.077153301,21
40260.2321683297,447697.731929635,21
20206.3688130875,427365.747570538,21
21315.328994817,463234.478877713,21
24428.9738892058,435912.387162113,21
18102.724053504,407176.962331074,21
14041.0533150421,449410.494146736,21
29617.1659011184,389587.649860254,21
25799.7735151778,377194.093501857,21
26075.0490302678,401669.881801593,21
37346.6610665162,524483.16840466,21
19561.679017527,493106.762068758,21
24985.2915405476,342757.431344885,21
11342.6635923704,444476.904937255,21
