"A1","A2","dim"
6274484.01769827,8370417.90682351,117
6230301.88072499,7966118.92677291,117
6854682.14225237,7345423.3988273,117
6562681.97508058,8567593.62553282,117
6145755.7375453,7116621.94653118,117
6956179.44822089,8092536.53659526,117
5041888.68398016,8609383.97976662,117
5805100.89402752,8155667.0303388,117
5871595.77705975,7022799.16897302,117
4683296.94558677,8513073.75781786,117
6011732.1761361,8433193.69179311,117
5568241.69386697,8544993.90723819,117
6003864.65217567,8731370.05132901,117
5406540.4990618,8378222.59148972,117
6038293.56589066,7566851.69408115,117
5577650.85970163,8428399.96956657,117
5781483.43233967,9235426.74535288,117
5282315.62299615,7947262.6772162,117
6643086.17109475,8406216.97047227,117
6136480.74981898,8891337.43749284,117
5296233.17513592,9458218.91994207,117
5958313.81533067,8280995.97056655,117
5520088.92825715,7985447.51763864,117
7050203.18487189,8992179.0968321,117
6205238.53787355,9232454.29586582,117
4184096.34816362,8003905.16715194,117
6855547.77567901,8523787.24129398,117
6064273.10407724,7381012.8872463,117
5466447.68179005,7174403.67608679,117
5645362.85891389,8383853.09783363,117
