"A1","A2","dim"
2237171.89303325,3974036.70987478,69
1765105.35081621,3734648.26340731,69
1868467.70863458,3383496.61994096,69
1983857.27250439,4578154.30780964,69
1602134.24728443,3656488.49819298,69
1526355.35701716,4368709.79892605,69
1762868.02114948,2940086.68530793,69
1804585.54907845,3321400.60452725,69
2312979.1393356,4429535.1751222,69
2069896.64251913,4394360.4462862,69
1811679.38272162,4102796.06611496,69
1715024.20102599,3530591.42268904,69
2150700.95382216,4567298.89609267,69
1896052.82294213,3034910.90521684,69
2517892.07226263,4451325.2201853,69
1845780.69159321,4602113.04318947,69
1855783.10200727,4001134.8689349,69
2226664.29629273,4191063.45733394,69
1695266.03730557,5414351.52124308,69
2053494.02102386,4551000.74509547,69
1415507.15513205,3727791.77825394,69
2271144.30529245,4330306.05653335,69
2336305.39305496,4379095.36729661,69
1840591.32935616,4281742.07103044,69
1910588.43893093,4622949.35799726,69
1695724.04941303,3372482.63913677,69
1632253.41818466,3674772.30584464,69
1801295.57256798,3939912.65030732,69
1987409.32548807,4043496.4223698,69
2146666.93519336,4244954.9342832,69
