"A1","A2","dim"
3843509.7445184,6962115.77332168,97
4760821.65475246,6354500.69180514,97
4223930.81809864,6191730.49730973,97
4447759.79567024,6025760.89680382,97
4707667.61959939,6414874.5936887,97
4554157.32473993,6425916.64882253,97
4288360.11142243,7203184.21960691,97
4036552.90403676,5706936.37353242,97
4337527.32837287,6498810.89619997,97
4115635.41754167,7057844.26160519,97
4678678.9726716,7797557.24063868,97
5172838.13407741,5554234.58473283,97
4561932.11184591,6836429.96504795,97
4471418.91849612,6293470.9580889,97
4611099.23736962,6581899.06851114,97
4462702.03350978,6429932.8922076,97
4221003.31811452,7116912.62672592,97
4545644.52308426,4436094.52646527,97
4172764.97978005,6510325.44996705,97
3830120.31157025,6192534.40642827,97
4386556.99178359,6945605.03846555,97
4618972.03116122,6762295.23642843,97
4596117.87913886,7931702.33065928,97
3732171.4410242,6195574.59241457,97
4511208.93001732,5962415.29700694,97
4414660.37165941,6874898.35844229,97
4295783.43809668,6542541.71691042,97
3840771.82096386,6187365.81100457,97
3665064.38775242,5707068.12484313,97
4131360.99726283,6609670.72628638,97
