"A1","A2","dim"
2791863.53251862,5192635.40721493,82
3437485.97052641,6054607.83895934,82
3255500.05112285,4996043.25051384,82
2880348.08919963,5883303.97222941,82
3074330.82459564,5920634.93119777,82
2862593.60439297,5084407.68219689,82
3501593.43899487,5140905.35420693,82
3103243.10034576,5785654.06331616,82
3193708.71289582,5871060.93931598,82
3172111.18164932,5931734.14023044,82
3025068.02319669,5456770.41770827,82
2421152.24891598,5998627.56472964,82
2669000.24298064,5208915.43367998,82
2871598.2042713,5515981.83292638,82
3313989.46291211,5316691.32277482,82
2666100.57775314,5570391.05096802,82
2213863.58840644,5722626.98126026,82
2755029.56989354,4583290.46908188,82
2937397.2397081,5162026.36421828,82
2766886.50844487,3744425.64538969,82
3383431.33848068,5815255.69999331,82
2702245.46717935,6263414.50812484,82
2652434.3843587,5355585.68862289,82
3357386.94112234,4640345.23827535,82
3024762.38922772,5284367.68517805,82
3021721.31001058,5070732.1609078,82
3106782.43871036,5040837.98775281,82
2689133.10036462,5147173.70890642,82
2947155.72157518,6019917.58022108,82
3700170.92607719,5266113.72099199,82
